t=2026-05-04T00:36:31+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-04T00:36:31+0530 lvl=info msg="using configuration at default config path" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-04T00:36:31+0530 lvl=info msg="open config file" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=663f6d348c73 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=03e64cd62a64 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=bd5e01e255e6 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=515b4741f7be l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=5ed5b1e5124d l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=937d9526dd7e l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=3f8d8838ef9e l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=15a583d63880 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=fe8080882cfd l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=3f3986d1e2d2 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:3000:0:1]:28092
t=2026-05-04T00:40:26+0530 lvl=info msg="join connections" obj=join id=23f8565ba13d l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:54264
t=2026-05-04T00:40:26+0530 lvl=info msg="join connections" obj=join id=f040d4d1593c l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=165df0b62d16 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=b518925272bd l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=4673121b76bf l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=27ae054d6702 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=d3697b20e276 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=57d117a9a441 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=b018241fa372 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=342066c6a523 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=ea9e8589d214 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=a5f58bacd0b9 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=8a56fb567abe l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=4c6776858047 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=082c8e588b58 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=ab0eb43d1058 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=078315214c5c l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=d48dd9c3be61 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=28f79bbafb05 l=[::1]:5173 r=[2a09:bac2:3b78:1aaa::2a8:17]:35960
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=ed3441da9f2c l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=99daea2a19bb l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=1431585dc5c4 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=b89e56b65123 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=633822241a2a l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=efb0953e713c l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:27+0530 lvl=info msg="join connections" obj=join id=1e83e10556d8 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=c13bbf7bf435 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=3604a54b93c1 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=e732326c90a7 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=c594922a6fe5 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=471aff88379b l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=1425f2c53a71 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=58a8e8e4ae2f l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=9b86809feda8 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=df7dbc4bee81 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=b31471cc9704 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=22af0e4c7181 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=56dd4c4c5396 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=f35fd94a9893 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=c0a62cba4479 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=cbea2884581e l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=9f55644f735b l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:58+0530 lvl=info msg="join connections" obj=join id=aa556ed8bf48 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
